date,open,high,low,close,pre_close,volume
2012-07-11,2402.184,2427.795,2402.154,2425.572,2406.706,3762431200.0
2012-07-12,2420.036,2460.559,2404.584,2449.181,2425.572,5671769100.0
2012-07-13,2441.013,2467.99,2438.979,2450.633,2449.181,3672525600.0
2012-07-16,2452.595,2452.595,2399.61,2399.731,2450.633,4277187000.0
2012-07-17,2391.897,2421.929,2391.281,2414.201,2399.731,3342432900.0
2012-07-18,2412.062,2420.778,2373.647,2414.335,2414.201,4175178800.0
2012-07-19,2407.443,2444.057,2401.291,2424.322,2414.335,4694905200.0
2012-07-20,2415.71,2423.804,2392.181,2398.455,2424.322,3761975400.0
2012-07-23,2379.885,2379.885,2357.507,2365.431,2398.455,3239036900.0
2012-07-24,2353.22,2392.353,2352.803,2375.992,2365.431,3031007900.0
2012-07-25,2368.384,2381.043,2357.468,2360.083,2375.992,2489650100.0
2012-07-26,2360.134,2374.874,2344.695,2347.488,2360.083,3131409400.0
2012-07-27,2353.942,2364.984,2341.293,2349.108,2347.488,3109052500.0
2012-07-30,2350.782,2367.029,2333.999,2335.793,2349.108,3048485100.0
2012-07-31,2336.882,2350.071,2329.505,2332.922,2335.793,3209972300.0
2012-08-01,2332.129,2371.122,2331.949,2358.651,2332.922,3142084800.0
2012-08-02,2354.073,2358.559,2325.608,2334.882,2358.651,3151615900.0
2012-08-03,2340.25,2354.156,2329.934,2353.737,2334.882,2976978500.0
2012-08-06,2350.117,2388.363,2348.119,2385.611,2353.737,4182066500.0
2012-08-07,2383.257,2390.782,2379.452,2388.873,2385.611,3828548900.0
2012-08-08,2390.959,2405.183,2382.825,2389.795,2388.873,3781045100.0
2012-08-09,2388.43,2412.142,2378.854,2411.7,2389.795,3565895100.0
2012-08-10,2409.937,2413.423,2395.912,2399.751,2411.7,3470299500.0
2012-08-13,2394.504,2394.504,2350.808,2351.931,2399.751,4478354600.0
2012-08-14,2352.659,2357.847,2324.906,2357.016,2351.931,3985006600.0
2012-08-15,2350.022,2350.022,2330.15,2331.615,2357.016,3058017600.0
2012-08-16,2327.91,2335.397,2317.061,2319.67,2331.615,2590290500.0
2012-08-17,2318.432,2322.885,2295.158,2313.476,2319.67,2606571700.0
2012-08-20,2294.901,2307.406,2279.946,2301.788,2313.476,2740203300.0
2012-08-21,2301.932,2327.375,2296.551,2313.703,2301.788,3489510000.0
2012-08-22,2315.14,2317.373,2285.755,2295.586,2313.703,3170841200.0
2012-08-23,2298.18,2311.653,2285.367,2302.199,2295.586,3133534200.0
2012-08-24,2295.684,2299.298,2274.566,2275.677,2302.199,3186959100.0
2012-08-27,2268.485,2268.485,2228.151,2228.204,2275.677,3738619100.0
2012-08-28,2226.898,2250.6,2222.001,2238.411,2228.204,3377361500.0
2012-08-29,2230.199,2240.112,2214.429,2214.814,2238.411,2901064800.0
2012-08-30,2204.515,2223.195,2188.724,2211.37,2214.814,3549131000.0
2012-08-31,2205.573,2218.866,2203.123,2204.868,2211.37,2596498600.0
2012-09-03,2201.123,2236.563,2197.708,2228.369,2204.868,3854859200.0
2012-09-04,2231.716,2234.875,2199.509,2204.407,2228.369,3485268800.0
2012-09-05,2199.743,2209.536,2186.962,2199.875,2204.407,3475182400.0
2012-09-06,2204.436,2218.68,2199.857,2217.823,2199.875,3169588400.0
2012-09-07,2233.912,2341.522,2233.912,2317.179,2217.823,9452976400.0
2012-09-10,2320.557,2334.496,2313.572,2326.666,2317.179,6533055400.0
2012-09-11,2316.532,2316.532,2294.82,2311.89,2326.666,4626071900.0
2012-09-12,2325.925,2337.196,2298.297,2320.071,2311.89,4962251800.0
2012-09-13,2316.679,2325.534,2298.367,2298.461,2320.071,4204984900.0
2012-09-14,2324.012,2332.417,2298.83,2315.542,2298.461,6157181400.0
2012-09-17,2312.055,2314.989,2258.182,2258.705,2315.542,4898473400.0
2012-09-18,2249.425,2253.144,2228.042,2235.239,2258.705,3322869600.0
2012-09-19,2237.218,2249.243,2229.489,2246.236,2235.239,3434970600.0
2012-09-20,2236.191,2236.191,2194.221,2195.951,2246.236,4254577900.0
2012-09-21,2190.327,2217.473,2186.53,2199.063,2195.951,3812059300.0
2012-09-24,2183.969,2225.805,2172.879,2215.516,2199.063,3750168600.0
2012-09-25,2209.975,2225.334,2202.376,2210.154,2215.516,2787701900.0
2012-09-26,2208.906,2216.824,2181.083,2184.891,2210.154,2745462600.0
2012-09-27,2186.004,2266.297,2185.766,2251.717,2184.891,5301690000.0
2012-09-28,2235.057,2297.033,2234.323,2293.106,2251.717,5787582500.0
2012-10-08,2291.961,2305.18,2258.11,2270.054,2293.106,3553442400.0
2012-10-09,2281.753,2327.727,2281.753,2320.157,2270.054,5254888700.0
2012-10-10,2314.593,2325.749,2304.608,2324.117,2320.157,4268623800.0
